,installer_id,Year_month,quotes_count,winning_quotes_count
0,108,201506,27,
1,108,201601,12,
2,108,201602,3,
3,363,201603,20,
4,363,201604,8,
5,363,201605,94,
6,363,201606,26,
7,363,201607,113,
8,363,201608,115,1
9,363,201609,415,2
10,363,201610,790,
11,363,201611,565,1
12,363,201612,307,
13,363,201701,157,
14,363,201702,44,
15,363,201703,104,
16,363,201704,70,
17,424,201310,4,
18,424,201312,4,
19,424,201401,6,
20,424,201403,4,
21,424,201407,3,
22,424,201501,25,
23,424,201502,33,1
24,424,201503,22,1
25,424,201504,3,
26,424,201505,38,
27,424,201506,6,2
28,424,201507,28,
29,424,201508,2,1
30,424,201510,1,
31,424,201602,1,
32,424,201603,1,
33,424,201604,3,2
34,424,201605,4,
35,424,201607,65,
36,424,201608,39,
37,424,201609,100,1
38,424,201610,46,
39,424,201611,83,
40,424,201612,94,2
41,424,201701,58,
42,424,201702,69,1
43,424,201703,92,
44,424,201704,66,1
45,424,201705,104,3
46,424,201706,142,3
47,424,201707,169,2
48,424,201708,261,1
49,424,201709,175,6
50,424,201710,238,4
51,424,201711,211,3
52,424,201712,134,4
53,424,201801,227,
54,424,201802,245,
55,424,201803,306,3
56,424,201804,78,
57,551,201312,1,1
58,551,201403,2,
59,551,201404,1,
60,551,201407,1,
61,551,201410,1,
62,551,201411,12,
63,551,201412,26,2
64,551,201501,6,1
65,551,201502,5,3
66,551,201503,2,
67,551,201504,5,3
68,551,201505,1,1
69,551,201506,1,1
70,551,201507,5,1
71,551,201508,8,1
72,551,201509,10,3
73,551,201510,4,
74,551,201511,11,2
75,551,201512,10,1
76,551,201601,1,
77,551,201602,4,1
78,551,201603,5,
79,551,201604,1,1
80,551,201605,2,
81,551,201606,4,
82,551,201607,51,
83,551,201608,16,
84,551,201609,8,2
85,551,201610,18,1
86,551,201611,19,
87,551,201612,20,1
88,551,201701,15,
89,551,201702,15,
90,551,201703,33,2
91,551,201704,22,
92,551,201705,14,2
93,551,201706,93,1
94,551,201707,38,
95,551,201708,74,
96,551,201709,81,1
97,551,201710,110,1
98,551,201711,72,
99,551,201712,52,3
100,551,201801,113,1
101,551,201802,132,2
102,551,201803,85,
103,551,201804,38,
104,554,201302,2,
105,554,201303,2,
106,554,201309,1,
107,554,201704,1,
108,554,201705,29,
109,554,201706,32,2
110,554,201707,28,
111,554,201708,37,
112,554,201709,37,2
113,554,201710,77,1
114,554,201711,75,
115,554,201712,60,5
116,554,201801,73,
117,554,201802,48,
118,554,201803,53,8
119,554,201804,6,
120,556,201706,20,
121,556,201707,52,
122,556,201708,11,
123,556,201709,11,
124,566,201301,1,
125,566,201302,2,
126,566,201303,1,
127,566,201304,1,
128,566,201305,1,1
129,566,201306,3,
130,566,201307,2,
131,566,201308,3,
132,566,201309,1,
133,566,201310,3,2
134,566,201311,1,
135,566,201401,2,
136,566,201403,1,
137,566,201405,3,
138,566,201406,17,1
139,566,201407,20,3
140,566,201408,7,2
141,566,201409,9,1
142,566,201410,4,1
143,566,201411,32,2
144,566,201412,93,2
145,566,201501,100,2
146,566,201502,85,2
147,566,201503,105,3
148,566,201504,73,5
149,566,201505,64,1
150,566,201506,82,8
151,566,201507,70,1
152,566,201508,34,5
153,566,201509,42,3
154,566,201510,33,1
155,566,201511,20,1
156,566,201512,29,1
157,566,201601,40,3
158,566,201602,32,2
159,566,201603,49,8
160,566,201604,36,1
161,566,201605,27,2
162,566,201606,42,
163,566,201607,189,1
164,566,201608,109,1
165,566,201609,40,3
166,566,201610,96,1
167,566,201611,37,1
168,566,201612,35,3
169,566,201701,103,
170,566,201702,83,
171,566,201703,40,3
172,566,201704,51,1
173,566,201705,209,1
174,566,201706,129,2
175,566,201707,114,5
176,566,201708,126,5
177,566,201709,53,3
178,566,201710,157,4
179,566,201711,88,2
180,566,201712,87,5
181,566,201801,130,5
182,566,201802,151,2
183,566,201803,145,10
184,566,201804,19,
185,613,201706,10,
186,613,201707,49,
187,613,201708,14,
188,613,201709,30,
189,613,201710,50,
190,613,201711,14,1
191,613,201801,1,
192,713,201605,1,
193,713,201607,4,
194,713,201608,1,
195,713,201609,1,1
196,713,201612,5,
197,713,201701,19,
198,713,201702,16,1
199,713,201703,17,2
200,713,201704,11,2
201,713,201705,6,
202,713,201706,42,
203,713,201707,29,
204,713,201708,25,1
205,713,201709,1,
206,713,201710,19,2
207,713,201711,26,2
208,713,201712,24,1
209,713,201801,40,
210,713,201802,12,
211,713,201803,19,1
212,713,201804,2,
213,857,201307,1,
214,857,201401,2,
215,857,201402,2,
216,857,201403,2,
217,857,201404,5,
218,857,201405,2,
219,857,201408,2,
220,857,201409,3,
221,857,201410,5,
222,857,201411,11,1
223,857,201412,6,
224,857,201501,10,2
225,857,201502,2,1
226,857,201503,8,
227,857,201504,2,4
228,857,201507,1,
229,857,201512,2,
230,857,201601,1,
231,857,201602,3,1
232,857,201702,2,
233,857,201703,1,
234,857,201704,1,
235,857,201708,1,
236,857,201710,2,
237,857,201801,1,
238,857,201802,2,
239,857,201803,2,
240,857,201804,2,
241,1013,201411,5,
242,1013,201412,13,
243,1013,201501,2,1
244,1013,201502,3,
245,1013,201503,37,
246,1013,201504,23,
247,1013,201505,2,1
248,1013,201602,10,
249,1013,201603,9,
250,1013,201604,3,
251,1013,201605,6,
252,1013,201606,22,2
253,1013,201607,12,
254,1013,201608,11,3
255,1013,201609,7,3
256,1013,201610,30,2
257,1013,201611,37,1
258,1013,201612,34,6
259,1013,201701,18,5
260,1013,201702,3,
261,1013,201703,9,2
262,1013,201704,10,2
263,1013,201705,15,2
264,1013,201706,110,4
265,1013,201707,86,2
266,1013,201708,5,5
267,1027,201410,8,
268,1027,201411,9,1
269,1027,201412,7,
270,1027,201501,5,
271,1027,201502,6,
272,1027,201503,4,
273,1027,201504,1,
274,1027,201505,2,
275,1027,201506,6,
276,1027,201507,10,4
277,1027,201508,5,
278,1027,201510,2,
279,1027,201601,1,
280,1027,201602,1,
281,1034,201412,65,
282,1034,201501,6,2
283,1034,201502,100,2
284,1034,201503,62,6
285,1034,201504,13,7
286,1034,201505,37,1
287,1034,201506,28,2
288,1034,201507,4,1
289,1034,201509,1,
290,1034,201510,1,1
291,1034,201511,2,1
292,1034,201512,11,
293,1034,201601,10,
294,1034,201602,4,
295,1034,201603,27,
296,1034,201604,19,
297,1034,201605,12,
298,1034,201606,46,2
299,1034,201607,88,
300,1034,201608,128,1
301,1034,201609,134,2
302,1034,201610,12,
303,1034,201612,17,
304,1034,201701,31,1
305,1034,201702,15,
306,1111,201509,2,1
307,1111,201603,1,1
308,1111,201605,2,
309,1111,201607,2,
310,1111,201608,8,
311,1111,201609,24,
312,1111,201610,31,
313,1111,201611,23,
314,1111,201612,3,
315,1111,201701,18,
316,1111,201702,25,1
317,1111,201703,62,2
318,1111,201704,17,1
319,1111,201705,14,
320,1111,201707,10,
321,1111,201708,9,
322,1234,201405,1,
323,1234,201406,17,
324,1234,201407,3,
325,1234,201408,1,
326,1364,201402,8,
327,1364,201403,7,
328,1364,201404,1,
329,1364,201407,7,
330,1364,201412,4,1
331,1364,201501,3,
332,1364,201505,6,
333,1364,201506,19,
334,1364,201507,48,2
335,1364,201508,18,
336,1364,201509,24,
337,1364,201510,19,3
338,1364,201511,21,
339,1364,201512,19,
340,1364,201601,14,
341,1364,201602,18,
342,1364,201603,36,
343,1364,201604,4,1
344,1364,201605,25,
345,1364,201606,74,
346,1364,201607,205,2
347,1364,201608,127,
348,1364,201609,105,2
349,1364,201610,74,
350,1364,201611,145,
351,1364,201612,100,3
352,1364,201701,84,1
353,1364,201702,67,
354,1364,201703,117,2
355,1364,201704,127,2
356,1364,201705,180,
357,1364,201706,224,1
358,1364,201707,225,3
359,1364,201708,226,1
360,1364,201709,225,5
361,1397,201310,1,
362,1397,201402,1,
363,1397,201504,2,
364,1397,201506,1,
365,1397,201704,17,
366,1397,201705,68,
367,1397,201706,35,
368,1397,201708,2,
369,1397,201710,2,
370,1397,201712,25,
371,1397,201801,72,
372,1397,201802,162,
373,1397,201803,126,1
374,1397,201804,49,
375,1627,201501,1,
376,1627,201502,1,
377,1627,201607,2,1
378,1627,201608,3,1
379,1627,201609,2,
380,1627,201610,6,
381,1627,201611,2,
382,1627,201612,4,
383,1627,201701,3,1
384,1627,201702,4,1
385,1627,201703,5,1
386,1627,201704,6,
387,1627,201705,4,
388,1627,201706,4,
389,1627,201707,15,
390,1627,201708,20,
391,1627,201709,12,2
392,1627,201710,14,
393,1627,201711,12,1
394,1627,201712,7,1
395,1627,201801,20,
396,1627,201802,19,
397,1627,201803,32,1
398,1627,201804,10,
399,1649,201409,1,
400,1649,201410,1,
401,1649,201411,2,
402,1649,201412,3,
403,1649,201501,2,
404,1649,201504,1,
405,1649,201506,1,
406,1649,201507,3,
407,1649,201508,2,
408,1649,201509,4,
409,1649,201510,1,
410,1649,201511,2,
411,1649,201512,3,
412,1649,201601,1,
413,1649,201608,1,
414,1649,201609,7,
415,1649,201610,13,
416,1649,201611,9,
417,1774,201708,8,
418,1774,201709,114,2
419,1774,201710,173,
420,1774,201711,97,
421,1774,201712,94,1
422,1774,201801,169,1
423,1774,201802,110,3
424,1774,201803,90,3
425,1774,201804,15,2
426,1790,201702,1,
427,1790,201703,15,
428,1790,201704,43,
429,1790,201705,13,
430,1790,201706,28,
431,1790,201707,7,1
432,1790,201708,13,
433,1790,201709,1,
434,1790,201710,1,
435,1790,201711,1,
436,1790,201801,1,
437,1790,201802,2,
438,1790,201803,3,
439,1831,201704,3,
440,1831,201705,1,
441,1831,201706,2,
442,1831,201707,2,1
443,1831,201708,1,
444,1831,201709,3,
445,1831,201710,1,
446,1865,201507,2,
447,1865,201509,7,
448,1865,201510,13,
449,1865,201511,10,
450,1865,201512,3,
451,1865,201601,12,
452,1865,201602,14,
453,1865,201603,19,1
454,1865,201604,12,
455,1865,201605,15,1
456,1865,201606,26,
457,1865,201607,51,1
458,1865,201608,35,
459,1865,201609,33,1
460,1865,201610,46,
461,1865,201611,33,
462,1865,201612,27,1
463,1865,201701,37,
464,1865,201702,36,1
465,1865,201703,47,2
466,1865,201704,67,2
467,1865,201705,66,2
468,1865,201706,62,2
469,1865,201707,55,
470,1865,201708,44,1
471,1865,201709,72,1
472,1865,201710,90,1
473,1865,201711,62,
474,1865,201712,66,
475,1865,201801,91,
476,1865,201802,62,1
477,1865,201803,87,2
478,1865,201804,32,
479,1901,201603,13,
480,1901,201604,9,
481,1901,201605,14,
482,1901,201606,14,1
483,1901,201607,36,1
484,1901,201608,16,1
485,1901,201609,37,2
486,1901,201610,33,
487,1901,201611,13,
488,1901,201612,10,1
489,1901,201701,22,
490,1901,201702,13,
491,1901,201703,12,
492,1901,201704,11,
493,1901,201705,37,
494,1901,201706,25,
495,1901,201707,23,
496,1901,201708,27,
497,1901,201709,35,1
498,1901,201801,2,
499,1911,201408,1,
500,1911,201411,1,
501,1911,201501,1,1
502,1911,201507,1,1
503,1911,201508,2,1
504,1911,201512,1,
505,1911,201712,9,
506,1911,201801,69,
507,1911,201802,24,
508,1911,201803,16,3
509,1911,201804,3,
510,1985,201702,13,
511,1985,201703,44,1
512,1985,201704,52,
513,1985,201705,12,
514,2042,201510,2,
515,2042,201512,2,
516,2042,201601,1,
517,2042,201602,1,
518,2042,201607,5,
519,2042,201608,1,
520,2042,201609,1,
521,2042,201610,1,1
522,2042,201611,4,
523,2042,201703,7,
524,2042,201704,1,
525,2042,201705,2,
526,2042,201706,3,
527,2042,201707,151,
528,2042,201708,8,
529,2042,201709,68,
530,2042,201710,16,
531,2042,201711,6,
532,2042,201712,6,
533,2042,201801,2,
534,2042,201802,5,
535,2042,201803,3,
536,2042,201804,2,
537,3250,201610,2,
538,3250,201611,34,
539,3250,201612,111,1
540,3250,201701,119,
541,3455,201412,5,
542,3455,201501,1,
543,3455,201502,5,
544,3455,201503,8,
545,3455,201504,4,1
546,3455,201509,1,1
547,3455,201601,4,
548,3455,201602,2,
549,3455,201603,2,
550,3455,201604,3,
551,3455,201605,1,
552,3455,201607,5,
553,3455,201609,6,
554,3455,201610,4,
555,3455,201611,3,
556,4184,201302,1,
557,4184,201303,2,
558,4184,201305,4,
559,4184,201306,1,
560,4184,201307,1,
561,4184,201402,2,
562,4184,201403,4,
563,4184,201404,2,
564,4184,201405,5,1
565,4184,201407,1,
566,4386,201508,1,
567,4386,201801,1,
568,6200,201501,23,
569,6200,201502,5,
570,6200,201503,7,
571,6200,201505,3,
572,6200,201507,6,1
573,6200,201508,11,2
574,6200,201509,15,1
575,6200,201510,35,2
576,6200,201511,40,3
577,6200,201512,20,2
578,6200,201601,37,1
579,6200,201602,42,
580,6200,201603,81,5
581,6200,201604,185,2
582,6200,201605,196,2
583,6200,201606,246,3
584,6200,201607,269,
585,6200,201608,223,4
586,6200,201609,181,4
587,6200,201610,135,3
588,6200,201611,98,
589,6200,201612,76,1
590,6200,201701,108,1
591,6200,201702,150,2
592,6200,201703,468,1
593,6200,201704,526,2
594,6200,201705,471,
595,6200,201706,785,5
596,6200,201707,508,
597,6200,201708,479,1
598,6200,201709,699,5
599,6200,201710,526,4
600,6200,201711,389,1
601,6200,201712,244,4
602,6200,201801,413,
603,6200,201802,452,1
604,6200,201803,320,4
605,6200,201804,87,
606,6204,201303,2,
607,6204,201304,3,
608,6204,201310,1,1
609,6204,201402,2,
610,6204,201403,1,
611,6204,201404,1,
612,6204,201405,2,
613,6204,201408,1,
614,6204,201409,4,
615,6204,201410,1,
616,6204,201411,1,
617,6204,201501,2,
618,6204,201502,2,
619,6204,201503,2,
620,6204,201504,1,
621,6204,201506,1,
622,6270,201311,2,
623,6270,201312,1,
624,6270,201402,1,1
625,6270,201404,1,
626,6270,201405,1,1
627,6270,201407,7,
628,6270,201411,5,
629,6270,201412,1,
630,6270,201501,17,
631,6270,201502,8,1
632,6270,201503,7,
633,6270,201504,4,
634,6270,201505,5,
635,6270,201506,8,
636,6270,201507,4,
637,6270,201509,1,
638,6270,201511,3,
639,6270,201512,3,
640,6270,201601,7,
641,6270,201603,3,
642,6270,201604,1,
643,6270,201605,10,1
644,6270,201606,1,
645,6270,201607,18,
646,6270,201608,10,
647,6270,201609,5,1
648,6270,201610,8,1
649,6270,201611,2,
650,6270,201612,4,
651,6270,201701,4,
652,6270,201702,2,1
653,6270,201704,5,
654,6270,201705,11,
655,6270,201706,7,
656,6270,201707,8,
657,6270,201708,8,
658,6270,201709,2,1
659,6270,201710,10,
660,6270,201711,19,
661,6270,201712,12,
662,6270,201801,38,2
663,6270,201802,25,
664,6270,201803,4,3
665,6270,201804,16,
666,6351,201309,1,
667,6351,201310,4,
668,6351,201311,3,
669,6351,201402,5,
670,6351,201403,2,
671,6351,201404,5,
672,6351,201405,6,
673,6351,201406,5,1
674,6351,201407,10,1
675,6351,201408,9,
676,6351,201409,5,1
677,6351,201410,8,
678,6351,201411,2,2
679,6351,201412,3,
680,6351,201501,14,
681,6351,201502,16,
682,6351,201503,8,1
683,6351,201504,7,
684,6351,201505,3,
685,6351,201506,5,1
686,6351,201507,3,
687,6351,201508,3,
688,6351,201510,4,
689,6351,201511,5,1
690,6351,201512,3,2
691,6351,201601,4,1
692,6351,201602,12,
693,6351,201603,7,
694,6351,201606,3,
695,6351,201607,20,
696,6351,201608,24,
697,6351,201609,18,
698,6351,201610,26,
699,6351,201611,20,
700,6351,201612,14,1
701,6351,201701,21,
702,6351,201702,11,
703,6351,201703,13,
704,6351,201704,19,
705,6351,201705,3,
706,6351,201706,9,
707,6351,201707,6,
708,6351,201709,2,
709,6351,201710,3,
710,6351,201712,1,
711,6351,201801,4,
712,6356,201302,2,
713,6356,201303,1,
714,6356,201305,4,
715,6356,201307,11,
716,6356,201308,1,
717,6356,201309,2,
718,6356,201310,5,
719,6356,201311,4,
720,6356,201312,1,
721,6356,201403,1,
722,6356,201405,1,
723,6356,201407,1,1
724,6356,201410,1,
725,6356,201411,1,
726,6394,201301,1,
727,6394,201305,3,
728,6394,201308,1,
729,6394,201408,1,
730,6394,201409,4,
731,6394,201410,8,
732,6394,201412,1,
733,6394,201501,2,
734,6394,201503,1,
735,6394,201509,2,
736,6394,201511,2,
737,6394,201601,1,
738,6394,201602,1,1
739,6394,201604,4,
740,6394,201605,3,
741,6394,201707,1,
742,6394,201708,5,
743,6449,201301,1,
744,6449,201307,1,
745,6449,201308,3,
746,6449,201309,1,
747,6449,201402,1,
748,6449,201403,2,1
749,6449,201404,1,
750,6449,201406,5,1
751,6449,201407,2,
752,6449,201408,2,
753,6449,201410,3,
754,6449,201412,1,
755,6449,201501,6,
756,6449,201502,6,
757,6449,201504,2,
758,6449,201506,1,
759,6449,201508,1,
760,6449,201510,6,
761,6449,201511,17,
762,6449,201512,3,
763,6507,201301,3,
764,6507,201303,2,
765,6507,201304,1,
766,6507,201305,2,
767,6507,201306,1,1
768,6507,201307,1,
769,6507,201308,1,
770,6507,201309,3,
771,6507,201310,4,
772,6507,201311,4,
773,6507,201312,3,1
774,6507,201401,3,
775,6507,201402,2,
776,6507,201403,4,
777,6507,201404,2,
778,6507,201405,3,
779,6507,201407,7,
780,6507,201408,8,
781,6507,201410,2,
782,6507,201411,15,
783,6507,201412,13,1
784,6507,201501,10,1
785,6507,201502,9,
786,6507,201503,15,1
787,6507,201504,9,2
788,6507,201505,17,
789,6507,201506,21,2
790,6507,201507,22,3
791,6507,201508,9,2
792,6507,201509,3,
793,6507,201510,3,
794,6507,201511,6,
795,6507,201512,3,1
796,6507,201601,6,1
797,6507,201602,3,
798,6507,201603,10,1
799,6507,201604,12,
800,6507,201605,15,1
801,6507,201606,20,
802,6507,201607,22,2
803,6507,201608,26,
804,6507,201609,18,2
805,6507,201610,9,2
806,6507,201611,14,
807,6507,201612,18,1
808,6507,201701,10,
809,6507,201702,12,
810,6507,201703,5,2
811,6507,201704,5,1
812,6507,201705,5,
813,6507,201706,3,1
814,6507,201708,1,
815,6515,201401,3,
816,6515,201402,4,
817,6515,201403,4,
818,6515,201404,5,
819,6515,201405,2,
820,6515,201406,4,
821,6515,201407,3,
822,6515,201409,2,1
823,6515,201410,1,1
824,6515,201411,1,
825,6515,201412,1,1
826,6515,201501,2,
827,6515,201502,5,1
828,6515,201509,9,
829,6515,201510,10,
830,6515,201511,3,
831,6515,201512,3,
832,6515,201601,2,
833,6515,201602,4,
834,6515,201603,5,
835,6515,201605,2,
836,6515,201606,2,
837,6515,201609,1,
838,6515,201610,1,
839,6515,201611,1,
840,6515,201612,2,
841,6515,201701,1,
842,6515,201702,2,
843,6515,201705,1,
844,6515,201706,6,
845,6515,201707,1,
846,6515,201709,2,
847,6515,201711,1,
848,6515,201712,2,
849,6515,201802,2,
850,6515,201804,1,
851,6519,201302,6,
852,6519,201303,1,
853,6519,201304,1,
854,6519,201305,1,
855,6519,201307,1,
856,6519,201308,2,1
857,6519,201310,3,
858,6519,201311,3,
859,6519,201401,2,
860,6519,201402,1,
861,6519,201403,2,
862,6519,201405,1,
863,6519,201408,1,
864,6519,201409,8,
865,6519,201410,14,1
866,6519,201411,4,
867,6519,201503,3,
868,6519,201505,1,
869,6519,201509,1,1
870,6519,201608,1,
871,6519,201610,14,
872,6519,201701,1,
873,6519,201702,6,
874,6519,201708,1,
875,6519,201710,6,
876,6519,201711,41,
877,6519,201712,18,
878,6520,201302,4,
879,6520,201303,2,
880,6520,201401,1,
881,6520,201503,3,
882,6520,201504,2,
883,6520,201505,3,
884,6520,201506,1,
885,6520,201507,2,
886,6520,201509,5,
887,6520,201510,2,
888,6520,201512,3,
889,6520,201601,8,1
890,6520,201602,5,
891,6520,201603,4,
892,6520,201604,5,1
893,6520,201605,2,1
894,6520,201606,12,
895,6520,201607,22,
896,6520,201608,14,2
897,6520,201609,10,
898,6520,201610,4,
899,6520,201611,6,
900,6520,201612,3,
901,6520,201701,3,
902,6520,201702,5,
903,6520,201703,5,
904,6520,201704,2,
905,6520,201706,6,2
906,6520,201707,11,
907,6520,201708,9,1
908,6520,201709,15,1
909,6520,201710,12,
910,6520,201711,6,
911,6520,201712,7,
912,6520,201801,25,1
913,6520,201802,17,1
914,6520,201803,31,2
