,i,five,four,three,two,one,avg_sent_score,Unnamed: 0,installer_id,Year_month,quotes_count,winning_quotes_count,year_month,closeraterecord_id
0,0,0,0,0,0,0,,0,108,201506,27.0,0.0,2015-06-01,0
1,1,0,0,0,0,0,,1,108,201601,12.0,0.0,2016-01-01,1
2,2,0,0,0,0,0,,2,108,201602,3.0,0.0,2016-02-01,2
3,3,0,0,0,0,0,,3,363,201603,20.0,0.0,2016-03-01,3
4,4,0,0,0,0,0,,4,363,201604,8.0,0.0,2016-04-01,4
5,5,1,0,0,0,0,0.7902,5,363,201605,94.0,0.0,2016-05-01,5
6,6,1,0,0,0,0,0.7902,6,363,201606,26.0,0.0,2016-06-01,6
7,7,2,0,0,0,0,0.5757,7,363,201607,113.0,0.0,2016-07-01,7
8,8,2,0,0,0,0,0.5757,8,363,201608,115.0,1.0,2016-08-01,8
9,9,2,0,0,0,0,0.5757,9,363,201609,415.0,2.0,2016-09-01,9
10,10,2,0,0,0,1,0.35379999999999995,10,363,201610,790.0,0.0,2016-10-01,10
11,11,2,0,0,0,1,0.35379999999999995,11,363,201611,565.0,1.0,2016-11-01,11
12,12,2,0,0,0,2,0.14617499999999997,12,363,201612,307.0,0.0,2016-12-01,12
13,13,2,0,0,0,2,0.14617499999999997,13,363,201701,157.0,0.0,2017-01-01,13
14,14,2,0,0,0,2,0.14617499999999997,14,363,201702,44.0,0.0,2017-02-01,14
15,15,2,0,0,0,2,0.14617499999999997,15,363,201703,104.0,0.0,2017-03-01,15
16,16,2,0,0,0,2,0.14617499999999997,16,363,201704,70.0,0.0,2017-04-01,16
17,17,0,0,0,0,0,,17,424,201310,4.0,0.0,2013-10-01,17
18,18,0,0,0,0,0,,18,424,201312,4.0,0.0,2013-12-01,18
19,19,0,0,0,0,0,,19,424,201401,6.0,0.0,2014-01-01,19
20,20,0,0,0,0,0,,20,424,201403,4.0,0.0,2014-03-01,20
21,21,0,0,0,0,0,,21,424,201407,3.0,0.0,2014-07-01,21
22,22,0,0,0,0,0,,22,424,201501,25.0,0.0,2015-01-01,22
23,23,0,0,0,0,0,,23,424,201502,33.0,1.0,2015-02-01,23
24,24,0,0,0,0,0,,24,424,201503,22.0,1.0,2015-03-01,24
25,25,0,0,0,0,0,,25,424,201504,3.0,0.0,2015-04-01,25
26,26,0,0,0,0,0,,26,424,201505,38.0,0.0,2015-05-01,26
27,27,0,0,0,0,0,,27,424,201506,6.0,2.0,2015-06-01,27
28,28,0,0,0,0,0,,28,424,201507,28.0,0.0,2015-07-01,28
29,29,0,0,0,0,0,,29,424,201508,2.0,1.0,2015-08-01,29
30,30,0,0,0,0,0,,30,424,201510,1.0,0.0,2015-10-01,30
31,31,0,0,0,0,0,,31,424,201602,1.0,0.0,2016-02-01,31
32,32,0,0,0,0,0,,32,424,201603,1.0,0.0,2016-03-01,32
33,33,0,0,0,0,0,,33,424,201604,3.0,2.0,2016-04-01,33
34,34,0,0,0,0,0,,34,424,201605,4.0,0.0,2016-05-01,34
35,35,0,0,0,0,0,,35,424,201607,65.0,0.0,2016-07-01,35
36,36,0,0,0,0,0,,36,424,201608,39.0,0.0,2016-08-01,36
37,37,0,0,0,0,0,,37,424,201609,100.0,1.0,2016-09-01,37
38,38,1,0,0,0,0,0.636,38,424,201610,46.0,0.0,2016-10-01,38
39,39,1,0,0,0,0,0.636,39,424,201611,83.0,0.0,2016-11-01,39
40,40,3,0,0,0,0,0.6705,40,424,201612,94.0,2.0,2016-12-01,40
41,41,3,0,0,0,0,0.6705,41,424,201701,58.0,0.0,2017-01-01,41
42,42,3,0,0,0,0,0.6705,42,424,201702,69.0,1.0,2017-02-01,42
43,43,3,0,0,0,0,0.6705,43,424,201703,92.0,0.0,2017-03-01,43
44,44,3,0,0,0,0,0.6705,44,424,201704,66.0,1.0,2017-04-01,44
45,45,3,0,0,0,0,0.6705,45,424,201705,104.0,3.0,2017-05-01,45
46,46,3,0,0,0,0,0.6705,46,424,201706,142.0,3.0,2017-06-01,46
47,47,3,0,0,0,0,0.6705,47,424,201707,169.0,2.0,2017-07-01,47
48,48,3,0,0,0,0,0.6705,48,424,201708,261.0,1.0,2017-08-01,48
49,49,4,0,0,0,0,0.6779499999999999,49,424,201709,175.0,6.0,2017-09-01,49
50,50,4,0,0,0,0,0.6779499999999999,50,424,201710,238.0,4.0,2017-10-01,50
51,51,4,0,0,0,0,0.6779499999999999,51,424,201711,211.0,3.0,2017-11-01,51
52,52,5,0,0,0,0,0.66484,52,424,201712,134.0,4.0,2017-12-01,52
53,53,7,0,0,0,0,0.7293999999999999,53,424,201801,227.0,0.0,2018-01-01,53
54,54,7,0,0,0,0,0.7293999999999999,54,424,201802,245.0,0.0,2018-02-01,54
55,55,7,0,0,0,0,0.7293999999999999,55,424,201803,306.0,3.0,2018-03-01,55
56,56,8,0,0,0,0,0.7299625,56,424,201804,78.0,0.0,2018-04-01,56
57,57,0,0,0,0,0,,57,551,201312,1.0,1.0,2013-12-01,57
58,58,0,0,0,0,0,,58,551,201403,2.0,0.0,2014-03-01,58
59,59,0,0,0,0,0,,59,551,201404,1.0,0.0,2014-04-01,59
60,60,0,0,0,0,0,,60,551,201407,1.0,0.0,2014-07-01,60
61,61,0,0,0,0,0,,61,551,201410,1.0,0.0,2014-10-01,61
62,62,0,0,0,0,0,,62,551,201411,12.0,0.0,2014-11-01,62
