,Unnamed: 0,avg,avg_sent_score,five,four,installer_id,market,one,quotes_count,reviews_ct,three,two,winning_quotes_count,year_month_count,avgmean_mkt,avgmean_others,avg_sent_score_mkt,avg_sent_score_others,ent_mkt,ent_others,ent_self,installerid,state,Since
0,0,,,0,0,21283,0.0,0,2.0,0.0,0,0,0.0,35.0,,,,,,,,21283,OR,2013.0
1,1,,,0,0,21283,0.0,0,4.0,0.0,0,0,0.0,36.0,,,,,,,,21283,OR,2013.0
2,2,,,0,0,21283,0.0,0,4.0,0.0,0,0,0.0,37.0,,,,,,,,21283,OR,2013.0
3,3,,,0,0,21283,0.0,0,3.0,0.0,0,0,0.0,38.0,,,,,,,,21283,OR,2013.0
4,4,,,0,0,21283,0.0,0,7.0,0.0,0,0,0.0,39.0,,,,,,,,21283,OR,2013.0
5,5,,,0,0,21283,0.0,0,10.0,0.0,0,0,1.0,40.0,,,,,0.0,0.0,0.0,21283,OR,2013.0
6,6,5.0,0.6896,2,0,21283,0.0,0,4.0,2.0,0,0,0.0,41.0,5.0,,0.6895999908447266,,0.0,0.0,0.0,21283,OR,2013.0
7,7,5.0,0.6896,2,0,21283,0.0,0,18.0,2.0,0,0,0.0,42.0,5.0,,0.6895999908447266,,0.0,0.0,0.0,21283,OR,2013.0
8,8,5.0,0.6896,2,0,21283,0.0,0,28.0,2.0,0,0,0.0,43.0,5.0,,0.6895999908447266,,0.0,0.0,0.0,21283,OR,2013.0
9,9,5.0,0.6896,2,0,21283,0.0,0,16.0,2.0,0,0,1.0,44.0,5.0,,0.6895999908447266,,0.3767701612564368,0.4505612088663046,0.0,21283,OR,2013.0
10,10,5.0,0.6896,2,0,21283,0.0,0,7.0,2.0,0,0,2.0,45.0,5.0,,0.6895999908447266,,0.3250829733914482,0.3767701612564368,0.0,21283,OR,2013.0
11,11,5.0,0.6896,2,0,21283,0.0,0,14.0,2.0,0,0,1.0,46.0,4.9375,4.875,0.6972312331199646,0.7048624753952026,0.3250829733914482,0.3767701612564368,0.0,21283,OR,2013.0
12,12,5.0,0.6896,2,0,21283,0.0,0,13.0,2.0,0,0,1.0,47.0,4.9375,4.875,0.6972312331199646,0.7048624753952026,0.3250829733914482,0.3767701612564368,0.0,21283,OR,2013.0
13,13,5.0,0.6896,2,0,21283,0.0,0,2.0,2.0,0,0,0.0,48.0,5.0,,0.6895999908447266,,0.0,0.0,0.0,21283,OR,2013.0
14,14,5.0,0.6896,2,0,21283,0.0,0,11.0,2.0,0,0,0.0,49.0,5.0,,0.6895999908447266,,0.0,0.0,0.0,21283,OR,2013.0
15,15,5.0,0.6896,2,0,21283,0.0,0,14.0,2.0,0,0,0.0,50.0,5.0,,0.6895999908447266,,0.0,0.0,0.0,21283,OR,2013.0
16,16,5.0,0.7306,3,0,21283,0.0,0,22.0,3.0,0,0,1.0,51.0,5.0,,0.7305999994277954,,0.0,0.0,0.0,21283,OR,2013.0
17,17,5.0,0.7306,3,0,21283,0.0,0,17.0,3.0,0,0,0.0,52.0,5.0,,0.7305999994277954,,0.0,0.0,0.0,21283,OR,2013.0
18,18,5.0,0.7306,3,0,21283,0.0,0,24.0,3.0,0,0,0.0,53.0,5.0,,0.7305999994277954,,0.0,0.0,0.0,21283,OR,2013.0
19,19,5.0,0.7306,3,0,21283,0.0,0,14.0,3.0,0,0,2.0,54.0,5.0,,0.7305999994277954,,0.0,0.0,0.0,21283,OR,2013.0
20,20,5.0,0.7306,3,0,21283,0.0,0,20.0,3.0,0,0,0.0,55.0,5.0,,0.7305999994277954,,0.0,0.0,0.0,21283,OR,2013.0
21,21,5.0,0.7306,3,0,21283,0.0,0,20.0,3.0,0,0,1.0,56.0,5.0,,0.7305999994277954,,0.0,0.0,0.0,21283,OR,2013.0
22,22,5.0,0.7306,3,0,21283,0.0,0,19.0,3.0,0,0,1.0,57.0,5.0,,0.7305999994277954,,0.0,0.0,0.0,21283,OR,2013.0
23,23,5.0,0.7306,3,0,21283,0.0,0,19.0,3.0,0,0,0.0,58.0,5.0,,0.7305999994277954,,0.0,0.0,0.0,21283,OR,2013.0
24,24,5.0,0.7306,3,0,21283,0.0,0,24.0,3.0,0,0,1.0,59.0,5.0,,0.7305999994277954,,0.0,0.0,0.0,21283,OR,2013.0
25,25,5.0,0.744075,4,0,21283,0.0,0,16.0,4.0,0,0,5.0,60.0,5.0,,0.7440750002861023,,0.0,0.0,0.0,21283,OR,2013.0
26,26,5.0,0.744075,4,0,21283,0.0,0,22.0,4.0,0,0,0.0,61.0,5.0,,0.7440750002861023,,0.0,0.0,0.0,21283,OR,2013.0
27,27,5.0,0.744075,4,0,21283,0.0,0,25.0,4.0,0,0,0.0,62.0,5.0,,0.7440750002861023,,0.0,0.0,0.0,21283,OR,2013.0
28,28,5.0,0.744075,4,0,21283,0.0,0,25.0,4.0,0,0,1.0,63.0,5.0,,0.7440750002861023,,0.0,0.0,0.0,21283,OR,2013.0
29,29,5.0,0.744075,4,0,21283,0.0,0,8.0,4.0,0,0,0.0,64.0,5.0,,0.7440750002861023,,0.0,0.0,0.0,21283,OR,2013.0
30,30,,,0,0,21641,0.0,0,4.0,0.0,0,0,0.0,44.0,5.0,5.0,0.6895999908447266,0.6895999908447266,0.3767701612564368,0.0,0.4505612088663046,21641,OR,1991.0
31,31,,,0,0,21641,0.0,0,,0.0,0,0,,45.0,5.0,5.0,0.6895999908447266,0.6895999908447266,0.3250829733914482,0.0,0.3767701612564368,21641,OR,1991.0
32,32,4.875,0.7048625,7,1,21641,0.0,0,12.0,8.0,0,0,0.0,46.0,4.9375,5.0,0.6972312331199646,0.6895999908447266,0.3250829733914482,0.0,0.3767701612564368,21641,OR,1991.0
33,33,4.875,0.7048625,7,1,21641,0.0,0,6.0,8.0,0,0,0.0,47.0,4.9375,5.0,0.6972312331199646,0.6895999908447266,0.3250829733914482,0.0,0.3767701612564368,21641,OR,1991.0
