,ES_name,score,pass,reviewscount,es_installer_id,ES_areaofservice,ES_link,TTS_names,tts_name,year,unit_price_avg
0,Sunnova Energy Corporation ,80,1,,20454,,https://www.energysage.com/supplier/20454/sunnova/,sunnova,sunnova,2016.0,0.00015722468378953636
1,Sunnova Energy Corporation ,80,1,,20454,,https://www.energysage.com/supplier/20454/sunnova/,sunnova,sunnova,2017.0,11.904764175415039
2,Sunnova Energy Corporation ,80,1,,20454,,https://www.energysage.com/supplier/20454/sunnova/,sunnova,sunnova,2015.0,1.996771216392517
3,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2016.0,3.877919912338257
4,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2017.0,3.4298720359802246
5,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2000.0,11.76273250579834
6,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2003.0,6.457291603088379
7,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2004.0,7.191808700561523
8,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2005.0,7.432183265686035
9,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2006.0,8.424166679382324
10,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2007.0,8.731293678283691
11,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2008.0,8.31126594543457
12,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2009.0,8.032363891601562
13,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2010.0,7.505294322967529
14,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2011.0,6.738875865936279
15,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2012.0,5.044378757476807
16,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2013.0,4.712374687194824
17,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2014.0,8.390096664428711
18,Sunlight Solar Energy ,98,1,61.0,566,"CO,CT,MA,OR",https://www.energysage.com/supplier/566/sunlight-solar-energy-inc/,sunlight solar energy,sunlight solar energy,2015.0,4.142701625823975
19,"Green Power Energy, LLC ",86,1,58.0,20054,"NJ,PA",https://www.energysage.com/supplier/20054/green-power-energy-llc/,green power energy,green power energy,2011.0,6.5
20,LuxLight Solar Energy ,84,1,58.0,20348,CA,https://www.energysage.com/supplier/20348/luxlight-solar-energy/,luxlight solar/ applied electric,,,
21,Mass Renewables Inc. ,83,1,52.0,6507,MA,https://www.energysage.com/supplier/6507/mass-renewables-inc-0/,mass renewables,mass renewables,2016.0,3.9335238933563232
22,Mass Renewables Inc. ,83,1,52.0,6507,MA,https://www.energysage.com/supplier/6507/mass-renewables-inc-0/,mass renewables,mass renewables,2017.0,3.5095787048339844
23,Mass Renewables Inc. ,83,1,52.0,6507,MA,https://www.energysage.com/supplier/6507/mass-renewables-inc-0/,mass renewables,mass renewables,2009.0,7.129629135131836
24,Mass Renewables Inc. ,83,1,52.0,6507,MA,https://www.energysage.com/supplier/6507/mass-renewables-inc-0/,mass renewables,mass renewables,2010.0,5.4146342277526855
25,Mass Renewables Inc. ,83,1,52.0,6507,MA,https://www.energysage.com/supplier/6507/mass-renewables-inc-0/,mass renewables,mass renewables,2011.0,5.520199775695801
26,Mass Renewables Inc. ,83,1,52.0,6507,MA,https://www.energysage.com/supplier/6507/mass-renewables-inc-0/,mass renewables,mass renewables,2012.0,4.61349630355835
27,Mass Renewables Inc. ,83,1,52.0,6507,MA,https://www.energysage.com/supplier/6507/mass-renewables-inc-0/,mass renewables,mass renewables,2013.0,4.285504341125488
28,Mass Renewables Inc. ,83,1,52.0,6507,MA,https://www.energysage.com/supplier/6507/mass-renewables-inc-0/,mass renewables,mass renewables,2014.0,3.815560817718506
29,Mass Renewables Inc. ,83,1,52.0,6507,MA,https://www.energysage.com/supplier/6507/mass-renewables-inc-0/,mass renewables,mass renewables,2015.0,5.5106048583984375
30,GreenBrilliance LLC ,83,1,51.0,20457,"DC,MD,VA",https://www.energysage.com/supplier/20457/greenbrilliance-llc/,green brilliance,green brilliance,2016.0,3.4832277297973633
31,GreenBrilliance LLC ,83,1,51.0,20457,"DC,MD,VA",https://www.energysage.com/supplier/20457/greenbrilliance-llc/,green brilliance,green brilliance,2017.0,2.528782844543457
32,GreenBrilliance LLC ,83,1,51.0,20457,"DC,MD,VA",https://www.energysage.com/supplier/20457/greenbrilliance-llc/,green brilliance,green brilliance,2008.0,8.149023056030273
33,GreenBrilliance LLC ,83,1,51.0,20457,"DC,MD,VA",https://www.energysage.com/supplier/20457/greenbrilliance-llc/,green brilliance,green brilliance,2009.0,8.341999053955078
34,GreenBrilliance LLC ,83,1,51.0,20457,"DC,MD,VA",https://www.energysage.com/supplier/20457/greenbrilliance-llc/,green brilliance,green brilliance,2010.0,5.744980335235596
35,GreenBrilliance LLC ,83,1,51.0,20457,"DC,MD,VA",https://www.energysage.com/supplier/20457/greenbrilliance-llc/,green brilliance,green brilliance,2012.0,3.71875
36,GreenBrilliance LLC ,83,1,51.0,20457,"DC,MD,VA",https://www.energysage.com/supplier/20457/greenbrilliance-llc/,green brilliance,green brilliance,2014.0,3.4211111068725586
37,GreenBrilliance LLC ,83,1,51.0,20457,"DC,MD,VA",https://www.energysage.com/supplier/20457/greenbrilliance-llc/,green brilliance,green brilliance,2015.0,3.5140480995178223
38,SUNWORKS ,56,1,50.0,20374,"CA,NV,OR",https://www.energysage.com/supplier/20374/sunworks/,sunworks power & electric,sunworks power & electric,2016.0,3.527336835861206
39,SUNWORKS ,56,1,50.0,20374,"CA,NV,OR",https://www.energysage.com/supplier/20374/sunworks/,sunworks power & electric,sunworks power & electric,2010.0,8.971147537231445
