,installer_id,market,year,own_price,other_prices
0,21283.0,0.0,2015.0,,4.673691749572754
1,21283.0,0.0,2016.0,,4.274165630340576
13,21283.0,0.0,2017.0,3.1040287017822266,3.607955932617188
25,21283.0,0.0,2018.0,,
30,21641.0,0.0,2016.0,4.274165630340576,
34,1911.0,1.0,2014.0,,
38,1911.0,1.0,2015.0,,
50,1911.0,1.0,2016.0,,4.538884162902832
62,1911.0,1.0,2017.0,,4.63664436340332
74,1911.0,1.0,2018.0,,
79,20045.0,1.0,2015.0,,
91,20045.0,1.0,2016.0,,4.538884162902832
103,20045.0,1.0,2017.0,,4.63664436340332
114,20128.0,1.0,2014.0,,
120,20128.0,1.0,2015.0,,
132,20128.0,1.0,2016.0,4.538884162902832,
144,20128.0,1.0,2017.0,4.63664436340332,
156,20128.0,1.0,2018.0,,
161,20343.0,1.0,2013.0,,
166,20343.0,1.0,2014.0,,
178,20343.0,1.0,2015.0,,
190,20343.0,1.0,2016.0,,4.538884162902832
202,20343.0,1.0,2017.0,,4.63664436340332
214,20343.0,1.0,2018.0,,
218,20538.0,1.0,2014.0,,
227,20538.0,1.0,2015.0,,
239,20538.0,1.0,2016.0,,4.538884162902832
251,20538.0,1.0,2017.0,,4.63664436340332
263,20538.0,1.0,2018.0,,
266,20659.0,1.0,2014.0,,
268,20659.0,1.0,2015.0,,
280,20659.0,1.0,2016.0,,4.538884162902832
292,20659.0,1.0,2017.0,,4.63664436340332
304,20659.0,1.0,2018.0,,
306,21711.0,1.0,2016.0,,4.538884162902832
307,21711.0,1.0,2017.0,,4.63664436340332
313,22764.0,1.0,2017.0,,4.63664436340332
314,22764.0,1.0,2018.0,,
317,108.0,2.0,2015.0,,4.048014892472161
323,108.0,2.0,2016.0,,3.954897165298462
326,1111.0,2.0,2015.0,4.958310127258301,3.9944681139553295
329,1111.0,2.0,2016.0,4.77962064743042,3.9156246185302734
341,1111.0,2.0,2017.0,4.100756645202637,3.626962673664093
350,20030.0,2.0,2013.0,,4.74900872366769
354,20030.0,2.0,2014.0,,5.362644553184509
366,20030.0,2.0,2015.0,,4.048014892472161
