,id,installer_id,body,overall_rating,sent_score
0,1,494,"The so called ""Solar Assisted Air Conditioning"" from SEDNA AIRE or SOLAR COOL doesn't deiver the saving promised and on top of the low performance, the company fails to honor the warranty in a responsible and timely manner. Do not buy this products, save yourself headaches.",1,0.4939
1,2,556,"My take on solar installers is that they should be evaluated like any other contractor you hire. Did the installer  provide you with relevant information, did they arrive punctually for on-site visits, and to perform the work? Did they follow up after the work was completed? Did thy present you with any unpleasant surprises?

Measured by these standards, SolarFlair did an excellent job. SolarFlair's employees always arrived punctually, and were courteous and knowledgeable. They handled all of the necessary paperwork, including registering the system to qualify for SRECs. The installation went flawlessly:  work on the system was completed over two days, as promised. SolarFlair followed up post-installation as well to make sure that I was satisfied with the operation of my system.

I wouldn't hesitate to recommend this installer.",5,0.7351
2,3,857,These guys are awesome.  Check out even more great reviews on Angie's List!,5,0.6893
3,4,20292,"3/12/2013
We just had a solar system installed by Capital Cities Solar as part of new construction on our home.  The cost was 27.3K net for 32 solar panels.  It was a clean install, the new panels look great and the system is cranking out electricity beyond expectations.  Brian in sales and Erin in operations handled all the lease paperwork with Sunpower and connection with PG&E.  I now just watch the meter run backwards.  I highly recommend Capital Cities Solar for your solar needs.

Glen K.
Auburn Ca.",5,0.7783
4,5,857,"I highly recommend Exact Solar.  Mark, the owner, is very knowledgeable and took the time to answer all my questions.  My installation was a little tricky, but the guys did a great job.  I am very pleased with the performance of the system and the follow up from Exact Solar.

We received quotes from other suppliers but we felt that Exact Solar gave us the best value.  More importantly, they gave us the true story, not just a salesman song and dance.

I would highly recommend them.  ",5,0.872
5,6,20193,"I have a 4KW PV installed since 11/10 and a Sunward Solar Hot Water system installed since 8/12. Both systems work great. CNY Solar did a great job on the install and took care of all the permits and paper work to file for the NYSERDA state rebate. Solar does work, even in less than sunny Upstate NY. You can see my PV system live output at: https://enlighten.enphaseenergy.com/public/systems/udYX9001
I love my SolarWorld SW-245 mono Panels and Enphase micro inverters.
I would recommend CNY solar (http://cnysolar.net/) for PV or Thermal Solar installs.  Contact me with questions at: solarpv@windstream.net 
Dick Thompson, Marietta, NY ",5,0.8074
6,7,20196,We have been very pleased with Casey's solar hot water and heating installation at our house. He had done this type of installation before and showed us how we could incorporate our solar hot water into our heating system. We opted for the evacuated tube-type heating elements vs. flat panel (more expensive but more efficient). We would definitely recommend Casey to others interested in installing a solar hot water system.,5,0.7845
7,8,20195,"We were Steve Keyes' first PV installation. It all went very smoothly. There were a few very minor glitches on the paperwork end (submitting documentation to the State), but the actual installation and operation has been essentially problem-free. Our only complaint is that we did not have more roofspace to put more panels on!! We recommended Steve to a number of people in our Town and he has completed installations at three of those homes. Steve and Joshua (Kingsbury) also helped get us set up to sell SRECs. We have been very pleased with their service. ",5,0.4927
8,9,6507,"Mike at Mass Renwables was friendly, courteous, professional and very helpful.  At first I did not know what kind of system I wanted, because my roof was too small and I had some trees in the way.  Mike had never installed a tracking system but he did recommend it.  It seemed like we would get the best ""bang for the buck"" with this system, so I went with it.  Mike had all subcontractor there on time as well as all the equipment.  It was up and running in less than a week.  I love it.",5,0.8622
9,10,6200,"With help from Energy Sage and the Cambridge Energy Alliance, I chose Real Goods Solar from the four companies that submitted bids.  I found the installation crew to be professional and courteous.  Follow-up to correct a minor problem was prompt and efficient.

During the three months that the system has been in place, my electricity bills have added up to a total of MINUS $45.  It's too early to say for sure whether the system will generate slightly more electricity than I use over the course of the year as promised, but, so far, it's delivered the anticipated savings. 

Real Goods also took care of all the paper work and remains in touch to make sure everything is going well.  (As a bonus, I was given a $500 Amazon card.)  I'm very pleased.",5,0.765
10,11,554,"Very good and professional installer. Turnkey solution. Delivered the project on time. Will absolutely recommend to others. 
They monitor the system as well. We had an issue where one of the parts blew up and I did not notice that the system was not generating power. They were on it already. Proactively reached out to me to swap the part out. ",5,0.4927
11,12,554,"We contracted with SGE because their sales guy, Dave Simmer, was extremely knowledgable. I had done a good deal of research, but still had some questions and he was able to answer them all, as well as to give us some good advice about sizing the system. They were at parity for pricing with our other top choice, Independent Power Systems, but Dave had a slight edge in his industry knowledge.

The installation happened sooner than they had expected - some clearances came faster than predicted, and the panels arrived sooner - so we had the system up and running about two weeks earlier than we had initially thought.

We're expecting to produce nearly twice what we consumed last year, but we've also bought a Nissan Leaf to suck down most of that excess, truly driving that one with zero emissions. We're also considering moving to electric hot water. If you actually produce more than you consume over the long haul, while you build up a credit balance on your bill the power company is not required to pay you that money, so it is wisest to be very close to net zero for the year.

You can see photos and read more on this blog: http://fletchersolar.blogspot.com/

The only negative on the installation is that the monitoring was not correctly installed initially so the electrician had to come back and troubleshoot them, which it appears he did correctly. He was extremely competent with regard to the basic installation, and his workmanship was exemplary. I can only fault him for not having deep understanding of the monitoring systems. There are two monitors, by the way, something called the ""L-Gate"", which is a utility-grade remote metering system that SGE uses to measure production for SREC calculations, and a split production/consumption system from SunPower that lets you see the breakout on the web.",5,0.8151
12,13,3250,"Sungevity was great to do business with.  They built a system for my house that was not over built.  They do not try to ""maximize"" your roof space like some solar installers will try to do.  They built a system that fits my energy usage.

They answered all my questions regarding leases vs. owning.

The installers were very professional and kept everything nice an tidy during the install.",5,0.6249
13,14,1951,"TFS is an amazing Company. Their quote was way better than any other I received, and they installed quicker and with great customer service. I have not had to pay electric bills for 15 months, and I love my solar system. They were absolutely amazing, and have great customer service. I can access info about how my solar system is doing at any time online, from anywhere, and it is doing great! Absolutely the best company!",5,0.8479
14,15,6356,"They were great.  Explained everything, all the options and the reasoning behind each one.  They were careful, punctual, and neat.  Just a great job and very satisfying experience working with them.",5,0.8122
15,16,6515,"We chose Circular Energy as a result of a recommendation from friends who had done in depth research about solar and about the various companies in South Texas.  Circular Energy promised a lot, explained everything technical to our satisfaction, and delivered on their promises.  Great work ethic and commitment to customer service and the solar industry",5,0.8442
16,17,6515,"Circular Energy went above and beyond my expectations and, given that my expectations were high, that's impressive.  I did quite a bit of research beforehand, not only on the technology and the decision to go solar, but on which company to chose.  Circular proved to be incredibly knowledgeable, extremely friendly, and a pleasure to do business with.  I'd absolutely recommend them to anyone who was going to embark on a residential solar project.",5,0.8281
17,18,20348,"Lux Light principal, Rob Hammer, responded immediately to our request for a 'walk-around' inspection of our house and the prospects for solar energy generation. He spent an afternoon with us reviewing the proposed system and his team began work the following week. The project was completed in a little more than two weeks, and PGE authorization for us to begin using and sharing power arrived the day the system was first operative.

Knowledgeable, conscientious, prompt, personable, and competent are the words I would use to describe the Lux Light team. No BS, just best equipment and excellent performance.",5,0.7717
18,19,20162,"Energy Sage put me in touch with many possible vendors, but it was Bob Clarke of 621 Energy who was ready and able to make our installation possible. He knew what questions to ask, could easily explain what would be possible, and helped us succeed in getting our installation to happen -
40kw 5-pole mounted trackers.",5,0.7543
19,20,20163,"I purchased a 7.9 kw system from them. I wanted to go with an experienced local company that was financially solid. The install went smoothly. However, I was unhappy with the appearance of the conduit from the panels to the meter since it was a front roof installation. Jonathan and his crew listened to my concerns and rerouted the conduit to my satisfaction. I would definitely recommend them to anyone looking to go solar. ",5,0.6369
20,21,1951,"Our experience with TFS was great. We had another solar company come to our house and they basically told us that solar would work. Dave with TFS came to our house and worked up a creative solution and walked us through exactly what we could expect. The installation crews were super. They worked through the challenges of dealing with a 1930 house that's seen multiple electrical upgrades and went above and beyond to make it work. As a bike commuter, I loved seeing them arrive by bike most days - at the end of the job they left everything clean and better than before. Top notch experience all the way around.",5,0.8591
21,22,20573,"American Solar did a great job from the sales process/contract work (with Nate), to the installation process / project management (directed by Buddy).

Nate and Buddy did a very good job of communicating their respective parts of the project (steps, timing, etc.) throughout, and returned phone calls /  answered questions, and kept me in-the-loop.

They clearly delivered what they promised, and were a pleasure to work with.",5,0.836
22,23,566,My system has been working perfectly and both the installers and staff were very helpful and nice. I have had negative electric bills since the install.,4,0.8849
23,24,20348,"Under Rob's oversight, the LuxLight team recently completed a 25 panel installation at my home in Orange County, CA.  I appreciated Rob's no-pressure, no-nonsense approach that was a stark and pleasant contrast to the larger installers that I spoke with before I found LuxLight via EnergySage.  EnergySage was especially helpful in helping me see the advantage of going with a smaller, local installer instead of the big guys who don’t seem to be interested in using their economies of scale to drive down purchase cost for the homeowner (This was a surprise to me!).  

Throughout the process, Rob was extremely informative and patient,  despite my frequent questions, requests and follow-ups [I'm an Engineer :) ].  Rob's knowledge and experience in the solar industry from both the consumer and utility installation perspective was quickly apparent.  My installation was not a straightforward one and involved several different surfaces and angles;  I wanted to maximize system production while limiting panel placement to areas that would not be visible from the front of the house.   Rob explained the benefits of a micro-inverter install and why it would deliver better results for my situation.   None of the other installers even mentioned the benefits or disadvantages of central vs. micro.

Luxlight pricing was extremely competitive and it was far better than the quotes received from large installers that seemed far more interested in leasing and purchase agreements.  

The Luxlight install was scheduled in a timely manner and despite several obstacles, was completed in a way that met or exceeded all design objectives. The work took about a week; The Luxlight installers left the worksite spotless at the end of each day, with all trash thrown away and equipment neatly placed out of the way.  During the install, I especially appreciated that Rob was onsite and worked directly with the local planning dept (at the city offices) to alter the panel layout when unexpected challenges were encountered.  I also appreciated that Rob stood by the original design/contract and did not try to negotiate a change order to address some of the unexpected adjustments that made the install more difficult and time consuming.  During the install, the Luxlight install team was kind, courteous and responsive to questions and requests.

LuxLight is a small outfit and it is clear that they take pride in what they do.  If shiny trucks with snappy logos and employees with fancy uniforms are important to you, I would look elsewhere.  But if you are looking for a solid installation, at a fair price, backed by someone with 10+ years in the solar industry whose team takes personal pride in their work, I would definitely talk to LuxLight.  My system has been running for 5 days now, with daily production exceeding EPBB Aug estimates by almost 20%.",5,0.8921
24,25,20586,"I was very impressed with the Western Solar team. After taking care of all the permitting, they showed up on a Tuesday and finished by Thursday, a day earlier than expected. This including digging a 130ft trench for an electrical line from the array to my house, building an engineered steel ground-mount setup for the solar panels, installing the panels themselves, and wiring everything together.

The installers were outstanding. The team worked well together in a professional manner. They worked quickly and built a very high quality system. Their attention to detail was impressive.

I was so satisfied that I called them back several months later so that we could double the size of our array.",5,0.6124
25,26,20586,"We received five bids for our PV project, ranging from local electricians to regional solar specialists. Not only did Western Solar provide the lowest price (for Made in Washington panels/inverter), they were the only installer who designed around all roof vents and within the roofline.",5,0.0
26,27,20666,"Mike at Sol Farm did one heck of a job with our dream project.   He took the time necessary to source quality products at a discount rate.  As a result, his bid came in at about 70% of the competition's.  Once the products were received, he and his crew provided a seamless and efficient installation of our system.   He was prompt and courteous.  He was able to answer all of my many questions.  Now I am proud to say that none of our money goes to Duke Power.  The only money we spend goes to Haywood EMC for service charges.   The next step will be a battery bank!",5,0.5106
27,28,20666,"Mike was wonderful from start to finish.  Worked with me on price to make the job affordable.  He is very knowledgeable about solar, and also has electrical and tree skills, which came in handy.  He and his crew were always polite and helpful.  Made sure my online monitoring was working properly.  The final result looks great.  I can see how much energy I'm saving, and I can't wait for my next electric bill.",5,0.6249
