,market,month,year,zipcode_total_rev
0,0.0,1.0,2012.0,481613.7
1,0.0,1.0,2013.0,455478.0
2,0.0,1.0,2014.0,613707.28
3,0.0,1.0,2015.0,907823.6
4,0.0,1.0,2016.0,294281.0
5,0.0,1.0,2017.0,1220601.4
6,0.0,2.0,2012.0,221508.80000000002
7,0.0,2.0,2013.0,398454.0
8,0.0,2.0,2014.0,357101.0
9,0.0,2.0,2015.0,502347.81
10,0.0,2.0,2016.0,430899.02
11,0.0,2.0,2017.0,231744.05
12,0.0,3.0,2012.0,213944.4
13,0.0,3.0,2013.0,137239.0
14,0.0,3.0,2014.0,156744.0
15,0.0,3.0,2015.0,392882.2
16,0.0,3.0,2016.0,581247.79
17,0.0,3.0,2017.0,1243200.14
18,0.0,4.0,2012.0,210757.4
19,0.0,4.0,2013.0,97130.0
20,0.0,4.0,2014.0,115720.0
21,0.0,4.0,2015.0,333472.83999999997
22,0.0,4.0,2016.0,341092.58
23,0.0,4.0,2017.0,958483.6
24,0.0,5.0,2012.0,376372.15
25,0.0,5.0,2013.0,270849.5
26,0.0,5.0,2014.0,239104.5
27,0.0,5.0,2015.0,172429.41
28,0.0,5.0,2016.0,1482803.81
29,0.0,5.0,2017.0,1075830.1
30,0.0,6.0,2012.0,171468.0
31,0.0,6.0,2013.0,353265.0
32,0.0,6.0,2014.0,265967.5
33,0.0,6.0,2015.0,525779.52
34,0.0,6.0,2016.0,416406.04
35,0.0,6.0,2017.0,1178436.45
36,0.0,7.0,2012.0,319310.7
37,0.0,7.0,2013.0,137451.5
38,0.0,7.0,2014.0,364412.0
39,0.0,7.0,2015.0,630279.5700000001
40,0.0,7.0,2016.0,504474.38
41,0.0,7.0,2017.0,2122796.67
42,0.0,8.0,2012.0,556059.6
43,0.0,8.0,2013.0,227206.0
44,0.0,8.0,2014.0,320489.0
45,0.0,8.0,2015.0,479026.41000000003
46,0.0,8.0,2016.0,991458.81
47,0.0,8.0,2017.0,2744011.23
48,0.0,9.0,2012.0,306214.0
49,0.0,9.0,2013.0,298055.58999999997
50,0.0,9.0,2014.0,325782.20999999996
51,0.0,9.0,2015.0,305453.76
52,0.0,9.0,2016.0,724907.0
53,0.0,9.0,2017.0,4332644.92
