
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="F.Installer Activity Level",="F.Installer Activity Level",="F.Installer Activity Level",="F.Installer Activity Level",="F.Installer Activity Level",="F.Installer Activity Level",="F.Installer Activity Level"

="Installer Activity Level",="0.530***",="0.509***",="0.502***",="0.510***",="0.510***",="0.507***",="0.507***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="L.Installer Activity Level",="0.0640**",="0.0363",="0.0369",="0.0393",="0.0393",="0.0374",="0.0374"
="",="(0.003)",="(0.176)",="(0.158)",="(0.130)",="(0.130)",="(0.155)",="(0.155)"

="L.Installer Activity Level",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",=""

="Rating_Entropy_Self",="",="1.322**",="1.351**",="",="",="",=""
="",="",="(0.006)",="(0.004)",="",="",="",=""

="Rating_Entropy_Self^2",="",="-1.578*",="-1.740*",="",="",="",=""
="",="",="(0.043)",="(0.026)",="",="",="",=""

="Rating_Entropy_Others",="",="",="0.132",="",="",="0.149",=""
="",="",="",="(0.481)",="",="",="(0.416)",=""

="Entropy(Others)^2",="",="",="-1.253*",="",="",="-1.300*",=""
="",="",="",="(0.031)",="",="",="(0.041)",=""

="Rating_Entropy_Others",="",="",="",="",="",="",="0.733"
="",="",="",="",="",="",="",="(0.059)"

="Rating_Entropy_Others^2",="",="",="",="",="",="",="-1.300*"
="",="",="",="",="",="",="",="(0.041)"

="Average_Rating_Self",="-0.0103",="-0.0662***",="-0.0680***",="-0.0618***",="-0.0618***",="-0.0713***",="-0.0713***"
="",="(0.565)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="Average_Rating_Others",="-0.195",="-0.137",="-0.162",="-0.180",="-0.180",="-0.191",="-0.191"
="",="(0.084)",="(0.232)",="(0.183)",="(0.128)",="(0.128)",="(0.138)",="(0.138)"

="Review_Count",="0.0259**",="0.0134*",="0.0105",="0.0165*",="0.0165*",="0.0175**",="0.0175**"
="",="(0.001)",="(0.024)",="(0.077)",="(0.023)",="(0.023)",="(0.007)",="(0.007)"

="Experience",="-0.0229",="-0.0564",="-0.0528",="-0.0554",="-0.0554",="-0.0445",="-0.0445"
="",="(0.695)",="(0.304)",="(0.326)",="(0.333)",="(0.333)",="(0.424)",="(0.424)"

="Price_Difference",="-0.0355",="0.0736",="0.0987",="-0.0164",="-0.0164",="0.110",="0.110"
="",="(0.727)",="(0.457)",="(0.366)",="(0.879)",="(0.879)",="(0.324)",="(0.324)"

="Market_LogRevenue",="0.00659",="0.00367",="0.00283",="0.00348",="0.00348",="0.00349",="0.00349"
="",="(0.263)",="(0.593)",="(0.681)",="(0.606)",="(0.606)",="(0.618)",="(0.618)"

="ent_self*",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",=""

="ent_other*",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",=""

="Observations",="5209",="3757",="3757",="3869",="3869",="3757",="3757"

="p-values in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
